城市,年份,地区生产总值（当年价格）(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),地方一般公共预算支出(亿元),地方一般公共预算收入(亿元),年末户籍人口(万人),城镇非私营单位在岗职工平均工资(元),住户存款余额(亿元),房地产开发投资额(亿元),商品房销售面积(万平方米),商品房平均销售价格(元/平方米),住宅商品房销售面积(万平方米),住宅商品房平均销售价格(元/平方米)
上海,2012年,21305.6,129.3,8174.1,13002.1,4184.02,3743.71,1426.93,80191.0,19506.7,2381.36,1898.46,14061.37,1592.63,13869.88
上海,2013年,23204.1,131.6,8286.5,14786.0,4528.61,4109.51,1432.34,91477.0,20486.25,2819.59,2382.2,16420.0,2015.81,16192.0
上海,2014年,25269.8,132.0,8633.3,16504.5,4923.44,4585.55,1438.69,100623.0,21269.3,3206.48,2084.66,16787.0,1780.91,16415.0
上海,2015年,26887.0,125.5,8408.7,18352.8,6191.56,5519.5,1442.97,109279.0,23384.73,3468.94,2431.36,20949.0,2009.17,21501.0
上海,2016年,29887.0,114.3,8570.2,21202.4,6918.94,6406.13,1450.0,120503.0,23639.8,3709.03,2705.69,24747.0,2019.8,25910.0
上海,2017年,32925.0,110.8,9525.9,23288.3,7547.62,6642.26,1455.13,130765.0,24338.48,3856.53,1691.6,23804.0,1341.62,24866.0
上海,2018年,36011.8,104.8,10360.8,25546.3,8351.54,7108.15,1462.38,142983.0,27071.74,4033.18,1767.01,26890.08,1333.29,28981.11
上海,2019年,37987.55,107.06,10193.6,27686.89,8179.28,7165.1,1469.3,151772.0,31727.73,4231.38,1696.34,30677.0,1353.7,32926.0
上海,2020年,38963.3,107.68,10258.57,28597.05,8102.11,7046.3,,174678.0,36733.97,4698.75,1789.16,33798.0,1434.07,36741.0
上海,2021年,43653.17,96.09,11366.69,32190.39,8430.86,7771.8,,196053.0,41150.4,5035.18,1880.45,36102.0,1489.95,40974.0
乌鲁木齐,2012年,2004.1,25.0,829.0,1150.0,295.6,252.01,257.8,51135.0,1715.97,220.69,371.61,5639.12,337.3,5255.04
乌鲁木齐,2013年,2202.85,26.31,875.1,1301.44,353.2,301.9,262.93,56680.0,1896.3,270.59,535.67,6111.0,488.54,5858.0
乌鲁木齐,2014年,2461.47,27.43,906.01,1528.03,404.81,340.62,266.91,61617.0,1974.84,329.98,461.79,6429.0,401.75,5758.0
乌鲁木齐,2015年,2631.64,31.64,787.37,1812.62,446.66,368.67,266.83,67617.0,2157.31,366.87,524.96,6669.0,465.41,6142.0
乌鲁木齐,2016年,2458.98,28.03,704.01,1726.69,417.56,369.67,267.87,73254.0,2295.69,362.5,582.0,6314.0,519.66,5829.0
乌鲁木齐,2017年,2743.82,29.62,827.63,1886.56,458.58,400.78,222.62,78072.0,2600.39,422.74,606.94,6668.0,525.97,6188.0
乌鲁木齐,2018年,3099.77,25.32,948.18,2126.26,659.79,458.28,222.26,85990.0,2871.11,659.15,605.3,8357.46,509.28,7757.03
乌鲁木齐,2019年,3413.0,27.69,906.14,2479.43,620.28,472.46,226.82,90729.0,3171.71,544.13,657.42,8690.0,566.85,8728.0
乌鲁木齐,2020年,3337.0,27.0,908.0,2402.0,536.87,392.64,,98945.0,3680.28,550.4,716.09,8081.0,636.84,7959.0
乌鲁木齐,2021年,3691.57,28.1,1039.76,2623.71,419.59,377.93,,111044.0,4027.86,537.77,764.16,8116.0,703.06,8013.0
兰州,2012年,1563.8,44.6,744.7,774.6,202.6,103.73,321.52,44488.0,1743.18,209.74,190.35,5697.52,176.75,5420.67
兰州,2013年,1776.28,49.12,820.43,906.74,242.34,124.5,368.57,49424.0,2021.56,257.44,253.46,5868.0,237.35,5520.0
兰州,2014年,2000.94,52.44,824.88,1123.61,280.1,152.33,374.67,54008.0,2262.94,317.08,480.36,6460.0,439.43,5860.0
兰州,2015年,2095.99,56.22,782.65,1257.11,344.0,185.19,321.9,62201.0,2608.54,320.56,628.12,6495.0,578.62,6089.0
兰州,2016年,2264.23,60.45,789.99,1413.79,424.16,215.48,324.23,67011.0,2796.24,391.15,828.79,6601.0,713.92,6162.0
兰州,2017年,2523.54,61.47,881.74,1580.34,429.36,234.2,325.55,75709.0,2949.27,418.26,697.93,7634.0,609.4,7137.0
兰州,2018年,2732.94,42.98,937.98,1751.97,465.64,253.32,328.48,85575.0,3244.08,575.22,642.42,7923.93,565.93,7231.87
兰州,2019年,2837.0,51.67,945.38,1840.3,456.66,233.23,331.92,88393.0,3571.18,550.67,718.44,7626.0,673.48,7332.0
兰州,2020年,2887.0,57.0,934.0,1896.0,486.24,247.13,,93847.0,3859.63,553.77,846.48,8401.0,796.79,8281.0
兰州,2021年,3231.29,62.52,1113.91,2054.86,484.59,276.73,,96793.0,4082.97,602.76,799.58,7941.0,761.54,7795.0
北京,2012年,19024.7,148.4,3856.0,15020.3,3685.31,3314.93,1297.46,85306.0,21644.9,3153.44,1943.74,17021.63,1483.37,16553.48
北京,2013年,21134.6,159.8,4168.3,16806.5,4173.66,3661.11,1316.34,93997.0,23086.41,3483.4,1903.11,18553.0,1363.67,17854.0
北京,2014年,22926.0,159.2,4433.0,18333.9,4524.67,4027.16,1333.4,103400.0,24158.4,3715.33,1454.19,18833.0,1136.53,18499.0
北京,2015年,24779.1,140.4,4419.8,20218.9,5737.7,4723.86,1345.2,113073.0,23913.97,4177.05,1554.25,22633.0,1126.84,22300.0
北京,2016年,27041.2,129.8,4665.8,22245.7,6406.77,5081.26,1362.86,122749.0,28012.03,4000.57,1658.93,27497.0,981.37,28489.0
北京,2017年,29883.0,121.9,5049.4,24711.7,6824.53,5430.79,1359.2,134994.0,28962.2,3692.54,869.95,32140.0,608.78,34117.0
北京,2018年,33106.0,120.6,5477.4,27508.1,7471.43,5785.92,1375.8,149843.0,34018.96,3873.35,696.19,34142.89,526.76,37420.19
北京,2019年,35445.13,114.38,5667.37,29663.38,7408.19,5817.1,1397.4,173205.0,37309.68,3838.38,938.86,35905.0,789.02,38433.0
北京,2020年,35943.25,108.28,5739.09,30095.88,7116.18,5483.89,,185026.0,42888.77,3938.71,970.88,37665.0,733.59,42684.0
北京,2021年,41045.63,111.41,7389.03,33545.19,7205.12,5932.31,,201504.0,47184.31,4139.03,1107.07,40526.0,877.1,46941.0
南京,2012年,7201.6,185.1,3170.8,3845.7,769.66,733.02,638.48,63152.0,4465.37,971.96,950.87,10106.36,876.25,9674.84
南京,2013年,8011.78,204.64,3450.58,4356.56,850.91,831.31,643.09,66222.0,4883.29,1037.71,1222.01,11495.0,1143.15,11078.0
南京,2014年,8820.75,214.25,3623.48,4983.02,921.2,903.49,648.72,77286.0,5055.77,1125.49,1207.58,11198.0,1124.73,10964.0
南京,2015年,9720.77,232.39,3916.77,5571.61,1045.57,1020.03,653.4,81075.0,5535.53,1429.02,1543.16,11489.0,1429.18,11260.0
南京,2016年,10503.02,252.07,4117.18,6132.71,1173.84,1142.6,662.79,90191.0,5894.47,1845.6,1558.18,17754.0,1406.29,17884.0
南京,2017年,11715.1,263.01,4454.87,6997.22,1354.09,1271.91,680.67,101502.0,6019.7,2170.21,1429.61,15653.0,1208.98,15259.0
南京,2018年,12820.4,273.42,4721.61,7825.37,1532.72,1470.02,696.94,111071.0,6914.84,2354.17,1220.73,22379.87,982.65,19708.33
南京,2019年,14031.0,287.85,5041.35,8702.35,1658.07,1580.03,709.82,129605.0,8299.64,2501.26,1320.65,19007.0,1137.19,19428.0
南京,2020年,14818.0,297.0,5214.0,9307.0,1754.62,1637.7,,138005.0,9499.25,2631.4,1324.67,24682.0,1213.81,25175.0
南京,2021年,16356.0,304.0,5903.0,10149.0,1817.73,1729.52,,149087.0,10636.78,2719.8,1510.95,26896.0,1371.39,27938.0
南宁,2012年,2503.2,323.0,960.7,1219.5,376.51,229.72,713.5,44144.0,1863.8,362.73,629.01,6002.89,575.52,5618.65
南宁,2013年,2803.54,349.93,1110.89,1342.73,418.4,256.25,724.43,49806.0,2321.16,416.37,702.6,6959.0,633.14,6155.0
南宁,2014年,3148.3,369.57,1251.54,1527.19,465.78,274.85,729.66,54330.0,2529.86,551.82,802.57,6627.0,720.95,6103.0
南宁,2015年,3410.09,370.35,1345.66,1694.08,526.72,297.05,740.23,66749.0,2700.37,657.19,1000.73,6646.0,878.87,6229.0
南宁,2016年,3703.33,395.89,1426.52,1880.92,586.98,312.79,751.75,68560.0,2924.55,854.0,1327.53,6887.0,1150.15,6767.0
南宁,2017年,4118.83,404.18,1599.5,2115.15,646.37,332.15,756.86,75481.0,3176.69,958.09,1544.13,7776.0,1307.68,7700.0
南宁,2018年,4026.91,421.31,1225.78,2379.81,697.99,358.96,770.82,83452.0,3542.83,1106.36,1745.19,7782.17,1438.25,7697.27
南宁,2019年,4507.0,507.27,1044.97,2954.32,789.2,370.93,781.97,90986.0,3960.31,1461.08,1805.23,8406.0,1550.33,8574.0
南宁,2020年,4726.0,534.0,1084.0,3108.0,819.86,372.25,,97079.0,4415.35,1378.2,1837.59,8605.0,1486.19,9200.0
南宁,2021年,5120.94,606.76,1198.76,3315.42,778.0,392.0,,103013.0,4878.8,1359.95,1494.08,8301.0,1125.51,8960.0
南昌,2012年,3000.5,147.2,1693.6,1159.7,345.51,240.02,507.87,43769.0,1853.57,344.36,689.86,6418.98,595.33,5879.99
南昌,2013年,3336.03,157.24,1850.49,1328.3,419.37,291.91,510.08,46892.0,2051.16,406.14,841.49,7101.0,751.87,6639.0
南昌,2014年,3667.96,162.72,2017.01,1488.23,473.16,342.21,517.73,51848.0,2149.33,414.07,824.66,6589.0,751.48,6225.0
南昌,2015年,4000.01,171.26,2179.96,1648.79,543.18,389.34,520.38,57730.0,2491.39,485.37,901.02,7126.0,815.99,6955.0
南昌,2016年,4354.99,181.6,2307.28,1866.11,583.26,402.18,522.79,65812.0,2722.42,674.6,1244.65,8218.0,1077.82,7707.0
南昌,2017年,5003.19,192.13,2666.1,2144.96,653.12,417.08,524.66,72686.0,2869.84,790.69,1610.43,8527.0,1289.79,8106.0
南昌,2018年,5274.67,190.68,2660.92,2423.07,752.41,461.75,531.88,82672.0,3132.05,890.43,1846.31,8560.79,1536.52,8275.87
南昌,2019年,5596.0,212.89,2653.82,2729.47,834.11,477.0,536.0,88470.0,3618.06,913.04,1906.13,9534.0,1580.89,9355.0
南昌,2020年,5746.0,235.0,2677.0,2834.0,838.17,483.86,,93774.0,4278.65,971.57,1770.83,10978.0,1367.24,10866.0
南昌,2021年,6650.53,238.31,3218.1,3194.12,870.01,484.83,,102084.0,4737.98,975.84,2019.49,10281.0,1562.29,10576.0
厦门,2012年,2817.1,25.2,1374.0,1417.9,460.98,422.91,190.92,52673.0,1680.19,518.88,615.34,12280.46,480.27,12953.38
厦门,2013年,3018.16,25.99,1434.79,1557.38,516.74,490.6,196.78,61754.0,1950.1,531.8,786.71,13625.0,581.52,14551.0
厦门,2014年,3273.58,23.73,1460.34,1789.5,548.25,543.8,203.44,63062.0,1972.02,704.06,790.21,15378.0,510.37,17778.0
厦门,2015年,3466.03,23.93,1511.28,1930.82,651.17,606.1,211.15,66930.0,2050.27,774.07,570.83,16122.0,345.89,18928.0
厦门,2016年,3784.27,23.08,1544.74,2216.44,758.64,647.94,220.55,69218.0,2172.0,765.8,528.86,20021.0,322.34,25251.0
厦门,2017年,4351.7,23.5,1812.2,2516.0,797.1,696.87,231.03,75452.0,2292.06,879.86,527.88,22599.0,237.28,28053.0
厦门,2018年,4791.41,24.4,1980.16,2786.85,892.5,754.54,242.53,85166.0,2610.18,884.58,529.42,20906.93,170.68,33715.43
厦门,2019年,5995.0,26.49,2493.99,3474.56,912.98,768.38,261.1,97779.0,3062.0,899.53,540.77,22622.0,274.7,33830.0
厦门,2020年,6384.0,29.0,2520.0,3835.0,976.91,783.94,,108554.0,3684.39,1055.76,621.82,24467.0,379.13,33779.0
厦门,2021年,7033.89,29.06,2882.89,4121.94,1060.0,880.96,,119483.0,4197.79,1069.66,593.04,25004.0,413.24,31425.0
合肥,2012年,4164.3,229.1,2303.9,1631.4,572.1,389.5,710.53,50724.0,2065.57,913.8,1242.48,6155.91,1117.33,5754.31
合肥,2013年,4672.91,247.21,2583.75,1841.95,630.89,438.62,711.5,54177.0,2355.77,1105.81,1628.09,6283.0,1451.69,6084.0
合肥,2014年,5157.97,257.63,2872.01,2028.33,698.79,500.34,712.81,59648.0,2539.5,1127.35,1594.79,7157.0,1326.22,6917.0
合肥,2015年,5660.27,263.43,2977.27,2419.57,772.66,571.54,717.72,65806.0,3018.54,1259.14,1589.21,7695.0,1285.9,7512.0
合肥,2016年,6274.38,270.43,3181.11,2822.84,859.85,614.85,729.83,71054.0,3281.26,1352.59,2098.34,9369.0,1705.72,9312.0
合肥,2017年,7213.45,272.75,3643.08,3297.62,965.34,655.9,742.76,77484.0,3489.18,1557.41,1283.4,10751.0,960.46,11442.0
合肥,2018年,7822.91,277.59,3612.25,3933.07,1004.91,712.49,757.96,89022.0,4003.41,1527.17,1389.58,12146.95,1103.88,13068.63
合肥,2019年,9409.0,291.86,3415.32,5702.22,1122.67,745.99,770.44,95156.0,4667.22,1556.08,1321.87,13365.0,1155.72,14086.0
合肥,2020年,10046.0,332.0,3580.0,6134.0,1164.35,762.9,,104818.0,5589.4,1546.99,1486.11,14321.0,1297.4,15265.0
合肥,2021年,11412.8,351.05,4171.21,6890.54,1223.72,844.22,,111672.0,6394.14,1466.42,1836.59,13382.0,1562.76,14443.0
呼和浩特,2012年,2475.6,120.5,902.3,1452.8,275.32,178.64,230.32,65637.0,1243.27,447.99,478.18,5445.14,414.31,4798.17
呼和浩特,2013年,2710.39,134.72,866.74,1708.93,294.84,182.02,233.96,48797.0,1414.62,581.68,420.45,5233.0,339.96,4631.0
呼和浩特,2014年,2894.05,125.46,848.19,1920.4,310.91,211.54,237.88,50469.0,1480.88,563.13,363.91,5474.0,306.92,5153.0
呼和浩特,2015年,3090.52,126.23,867.08,2097.21,360.65,247.4,238.58,53698.0,1683.96,509.05,381.81,5193.0,321.44,4946.0
呼和浩特,2016年,3173.59,113.61,884.48,2175.81,419.97,269.65,240.97,56213.0,1866.01,520.52,425.49,6425.0,344.8,5196.0
呼和浩特,2017年,2743.72,107.74,755.75,1880.23,403.04,201.5,242.85,63084.0,1953.41,238.4,316.51,6510.0,249.97,5662.0
呼和浩特,2018年,2903.5,108.4,801.4,1993.7,356.74,204.72,245.85,71387.0,2174.09,174.25,396.05,8345.54,342.43,8251.24
呼和浩特,2019年,2791.0,114.21,823.84,1853.41,417.92,203.12,248.74,84105.0,2391.64,175.22,326.0,10042.0,296.28,10029.0
呼和浩特,2020年,2801.0,127.0,816.0,1858.0,438.57,217.1,,89549.0,2623.75,246.89,413.76,11001.0,382.27,11066.0
呼和浩特,2021年,3121.43,137.14,1052.58,1931.71,420.75,228.92,,98467.0,2893.1,270.72,309.66,10797.0,264.05,11314.0
哈尔滨,2012年,4550.2,506.8,1638.9,2404.6,643.58,354.72,993.53,41773.0,3320.67,789.04,1195.28,5517.65,1031.61,5112.85
哈尔滨,2013年,5017.05,587.12,1743.93,2686.0,709.78,402.28,995.21,47150.0,3593.56,857.94,1370.48,6194.0,1227.0,5884.0
哈尔滨,2014年,5340.07,626.51,1784.02,2929.54,740.08,423.52,987.29,51554.0,3768.82,686.66,1041.05,6182.0,919.81,5751.0
哈尔滨,2015年,5751.21,672.52,1862.78,3215.91,824.84,407.73,961.37,58405.0,4370.42,593.98,895.98,6419.0,807.23,6124.0
哈尔滨,2016年,6101.61,691.31,1896.38,3513.92,876.29,376.24,962.05,62583.0,4671.9,512.13,1057.96,6680.0,908.16,6338.0
哈尔滨,2017年,6355.05,688.79,1820.73,3845.52,958.47,368.1,955.0,67542.0,4938.37,498.59,1269.54,8339.0,1089.16,7861.0
哈尔滨,2018年,6300.48,525.49,1689.31,4085.68,962.17,384.37,951.54,71771.0,5394.26,584.99,1050.58,9208.3,920.0,8931.92
哈尔滨,2019年,5249.0,569.54,1127.33,3552.55,1101.14,370.91,951.34,82385.0,6291.84,620.45,964.78,9920.0,824.78,9780.0
哈尔滨,2020年,5184.0,616.0,1144.0,3424.0,1162.25,339.57,,84796.0,7311.39,622.05,768.5,9467.0,679.32,9460.0
哈尔滨,2021年,5351.66,628.18,1239.19,3484.29,992.08,365.81,,89587.0,8187.2,531.37,609.45,8760.0,517.07,8778.0
大连,2012年,7002.8,451.4,3634.8,2916.7,890.96,750.11,590.31,54821.0,4160.47,1396.52,1076.36,8003.54,966.89,7583.97
大连,2013年,7650.79,477.59,3891.95,3281.25,1083.54,850.16,591.45,58946.0,4483.77,1710.36,1222.13,8263.0,1104.02,7859.0
大连,2014年,7655.58,441.83,3697.35,3516.39,989.46,780.86,594.29,63609.0,4666.71,1429.34,746.4,9216.0,670.73,8921.0
大连,2015年,7731.64,453.25,3348.74,3929.64,910.69,579.91,593.56,69390.0,5107.89,897.46,637.33,8929.0,596.67,8711.0
大连,2016年,6810.2,463.09,2850.07,3497.72,870.28,611.9,595.63,73764.0,5277.66,535.17,707.49,9354.0,654.62,9119.0
大连,2017年,7363.92,477.1,3052.56,3834.26,919.84,657.64,594.89,81884.0,5414.5,566.64,839.84,10315.0,758.17,10019.0
大连,2018年,7668.48,442.7,3241.58,3984.2,1001.49,703.99,595.21,87592.0,6039.97,688.51,775.95,11546.3,702.09,11432.55
大连,2019年,7002.0,458.52,2799.85,3743.35,1016.28,692.84,598.69,95442.0,6842.29,711.06,658.87,11972.0,602.74,12041.0
大连,2020年,7030.0,459.0,2815.0,3756.0,1001.98,702.68,,98812.0,7843.76,753.06,714.84,13302.0,629.08,13501.0
大连,2021年,7825.95,513.33,3301.64,4010.98,980.05,737.6,,107390.0,8686.07,728.95,687.71,13746.0,627.24,14080.0
天津,2012年,9043.0,147.9,4134.0,4761.1,2143.21,1760.02,993.2,65398.0,7055.4,1260.0,1661.69,8217.67,1511.4,8009.58
天津,2013年,9945.4,154.8,4407.1,5383.6,2549.21,2079.07,1003.97,68864.0,7612.31,1480.82,1847.11,8746.0,1720.34,8390.0
天津,2014年,10640.6,158.8,4615.5,5866.3,2884.7,2390.35,1016.66,73839.0,7916.9,1699.65,1612.98,9219.0,1483.64,8828.0
天津,2015年,10879.5,162.3,4489.6,6227.6,3232.35,2667.11,1026.9,81486.0,8743.79,1871.55,1771.07,10107.0,1674.78,9931.0
天津,2016年,11477.2,168.5,4368.0,6940.8,3699.43,2723.5,1044.4,87806.0,9125.38,2300.01,2711.08,12830.0,2521.87,12870.0
天津,2017年,12450.6,169.0,4564.1,7717.5,3282.54,2310.36,1049.99,96965.0,9558.05,2233.39,1482.12,15331.0,1342.87,15139.0
天津,2018年,13362.9,175.3,4835.3,8352.3,3103.16,2106.24,1081.63,103931.0,10746.17,2424.49,1249.87,16054.64,1140.73,15924.26
天津,2019年,14055.46,185.41,4947.18,8922.87,3555.71,2410.41,1108.18,111602.0,12639.64,2727.82,1478.68,15380.0,1382.63,15423.0
天津,2020年,14007.99,210.34,4911.77,8885.88,3151.35,1923.11,,118918.0,14865.71,2608.54,1306.96,16172.0,1220.74,16391.0
天津,2021年,15685.05,265.9,5672.67,9746.48,3152.55,2141.06,,128171.0,16244.12,2769.98,1435.42,16182.0,1333.97,16370.0
太原,2012年,2311.4,36.0,1035.6,1239.8,277.44,215.67,365.84,48905.0,3021.5,359.24,324.81,6805.39,308.13,6404.74
太原,2013年,2412.87,38.61,1052.08,1322.19,319.11,247.33,367.45,51161.0,3307.99,416.23,423.31,7158.0,401.15,6668.0
太原,2014年,2531.09,38.86,1012.31,1479.92,322.69,258.85,369.74,57771.0,3325.78,469.68,419.21,7651.0,394.09,7155.0
太原,2015年,2735.34,37.4,1020.18,1677.77,419.99,274.24,367.39,60516.0,3432.12,597.83,448.28,7508.0,421.65,7303.0
太原,2016年,2955.6,38.72,1067.56,1849.32,424.07,282.69,370.25,64820.0,3661.76,681.9,609.84,7667.0,556.44,7348.0
太原,2017年,3382.18,40.82,1271.42,2069.94,479.06,311.85,369.17,72114.0,4384.88,470.63,786.41,9017.0,722.1,8827.0
太原,2018年,3884.48,41.05,1439.13,2404.3,542.46,373.23,376.72,80825.0,4767.46,529.41,839.42,11058.6,771.21,10840.49
太原,2019年,4029.0,42.48,1518.64,2467.39,610.55,386.62,383.5,82860.0,5252.08,696.54,741.1,11181.0,645.48,11136.0
太原,2020年,4153.0,32.0,1504.0,2617.0,647.34,378.44,,88650.0,5896.93,714.82,781.36,10759.0,701.24,10815.0
太原,2021年,5121.61,44.8,2113.09,2963.72,628.99,423.44,,98099.0,6566.4,665.47,821.78,10244.0,728.26,10395.0
宁波,2012年,6582.2,268.5,3516.8,2796.9,828.44,725.5,577.71,56255.0,4175.96,884.35,590.22,11239.84,458.74,11385.25
宁波,2013年,7128.87,276.35,3741.72,3110.8,939.89,792.81,580.15,63362.0,4562.36,1123.14,730.09,11100.0,581.95,11405.0
宁波,2014年,7610.28,275.7,3980.41,3354.17,1000.86,860.61,583.78,70228.0,4780.31,1328.14,726.44,10745.0,595.2,10890.0
宁波,2015年,8003.61,284.68,4098.22,3620.71,1252.64,1006.41,586.57,74989.0,5302.84,1228.84,1007.21,10708.0,846.92,11022.0
宁波,2016年,8686.49,302.29,4455.3,3928.9,1289.26,1114.54,590.96,83656.0,5689.44,1270.33,1336.95,11228.0,1126.06,11738.0
宁波,2017年,9842.1,305.8,5119.4,4416.8,1410.6,1245.29,596.93,91705.0,5902.68,1374.47,1543.64,13324.0,1283.72,14145.0
宁波,2018年,10745.46,305.96,5507.53,4931.97,1594.1,1379.69,602.96,102325.0,6561.26,1587.47,1624.38,15142.05,1299.17,16201.58
宁波,2019年,11985.0,322.27,5782.92,5879.93,1767.89,1468.51,608.47,110878.0,7475.47,1703.59,1714.64,15065.0,1438.89,15956.0
宁波,2020年,12409.0,339.0,5694.0,6376.0,1742.09,1510.84,,111286.0,8522.07,1818.88,1858.2,16411.0,1571.44,17657.0
宁波,2021年,14594.92,356.16,6997.17,7241.59,1944.42,1723.14,,127011.0,9387.31,2075.59,1606.23,18782.0,1280.8,21152.0
广州,2012年,13551.2,213.8,4720.7,8616.8,1343.65,1102.4,822.3,67515.0,11310.69,1370.45,1333.13,13162.67,1128.51,12000.88
广州,2013年,15420.14,228.87,5227.38,9963.9,1386.13,1141.8,832.31,73678.0,12496.69,1572.43,1699.98,15330.0,1398.47,13954.0
广州,2014年,16706.87,218.7,5590.97,10897.2,1436.22,1243.1,842.42,74246.0,12825.64,1816.15,1540.02,15719.0,1196.23,14739.0
广州,2015年,18100.41,226.84,5726.08,12147.49,1727.72,1349.47,854.19,81171.0,13602.38,2137.59,1653.07,14612.0,1344.86,14083.0
广州,2016年,19547.44,238.48,5750.86,13556.15,1943.75,1393.64,870.49,89096.0,13995.79,2540.85,1949.1,16384.0,1624.01,16346.0
广州,2017年,21503.15,233.49,6015.29,15254.37,2186.01,1536.74,897.87,98612.0,14625.63,2702.89,1757.75,17633.0,1367.48,17685.0
广州,2018年,22859.35,223.44,6234.07,16401.84,2506.18,1634.22,927.69,111839.0,16042.06,2701.93,1550.28,20013.6,1138.2,21581.78
广州,2019年,23629.0,251.37,6454.0,16923.22,2865.33,1699.04,953.72,123498.0,17980.56,3102.26,1464.64,22363.0,1106.58,24015.0
广州,2020年,25019.0,288.0,6590.0,18141.0,2952.65,1722.79,,135138.0,20774.13,3293.95,1539.4,25056.0,1223.21,27112.0
广州,2021年,28231.97,306.41,7722.67,20202.89,3021.18,1884.26,,144288.0,22768.53,3626.44,1736.31,28034.0,1371.01,30580.0
成都,2012年,8138.9,348.1,3765.6,4025.2,983.85,780.9,1173.3,48302.0,7060.03,1889.23,2844.09,7288.24,2424.61,6678.46
成都,2013年,9108.89,353.17,4181.49,4574.23,1161.75,898.54,1187.99,56581.0,8151.59,2111.25,2950.13,7197.0,2555.81,6708.0
成都,2014年,10056.59,357.07,4508.53,5190.99,1340.0,1025.17,1210.74,63201.0,8976.94,2215.53,2951.3,7032.0,2476.25,6536.0
成都,2015年,10801.16,373.15,4723.49,5704.52,1468.42,1157.64,1228.05,69123.0,9922.18,2435.25,2997.43,6875.0,2447.13,6584.0
成都,2016年,12170.23,474.64,5231.98,6463.61,1595.89,1175.41,1398.9,74408.0,10808.0,2638.89,3928.77,7504.0,3279.17,7377.0
成都,2017年,13889.39,500.87,5998.19,7390.34,1756.66,1275.53,1435.33,79292.0,11970.84,2492.65,3925.91,8733.0,2976.47,8595.0
成都,2018年,15342.77,522.59,6516.19,8303.99,1837.42,1424.16,1476.05,88011.0,13141.47,2273.16,3682.52,9866.6,2660.02,9783.16
成都,2019年,17013.0,612.18,5244.62,11155.86,2006.95,1482.96,1500.07,97519.0,14900.55,2611.71,3543.28,10867.0,2564.86,11729.0
成都,2020年,17717.0,655.0,5419.0,11643.0,2159.48,1520.38,,104463.0,17084.99,2847.64,3680.3,12148.0,2826.74,13231.0
成都,2021年,19916.98,582.79,6114.34,13219.85,2237.69,1697.63,,113853.0,19020.46,3142.38,3644.11,12858.0,2614.48,14713.0
拉萨,2012年,260.1,10.8,90.7,158.7,106.9,34.36,50.0,65150.0,,,,,,
拉萨,2013年,304.87,11.73,107.56,185.58,131.92,50.16,60.12,69403.0,,,,,,
拉萨,2014年,347.45,12.94,127.75,206.76,169.49,64.79,52.73,72468.0,559.28,,,,,
拉萨,2015年,376.73,13.8,140.95,221.98,200.4,62.42,53.03,114582.0,341.19,,,,,
拉萨,2016年,424.95,15.13,162.8,247.02,248.11,70.79,53.78,111009.0,408.87,44.54,,,,
拉萨,2017年,479.25,17.54,189.38,272.33,257.47,89.63,54.36,111092.0,442.69,,,,,
拉萨,2018年,540.78,18.29,229.65,292.84,300.12,110.1,55.44,126936.0,461.42,,,,,
拉萨,2019年,618.0,20.1,236.14,361.64,365.41,117.04,55.88,127057.0,471.78,,,,,
拉萨,2020年,678.0,23.0,290.0,365.0,349.66,107.26,,125998.0,530.61,,,,,
拉萨,2021年,741.84,24.45,278.08,439.31,318.38,106.94,,141577.0,557.07,,,,,
